,ASCA_PC1,ASCA_PC2
1,0.10766424012877096,-0.08124802900266115
2,0.02706592076440517,0.12188633207948907
3,0.12488624524764941,-0.048148328946517216
4,0.05510680369871045,0.22238188274775153
5,0.1185124445688732,-0.06619019206254076
6,0.1086812713144272,-0.01168133004692956
7,0.12248851047101189,0.02671070568500592
8,0.13114087816410994,-0.044221677814745904
9,0.12940582034244616,-0.04965232114255394
10,0.05368086584338689,0.007461793252804907
11,0.10913485089287508,-0.030867119713253215
12,0.11423231974442552,-0.13571420496852624
13,0.12293960096238059,-0.05110229736644725
14,-0.020172766350832868,0.08193877651194378
15,0.12999402533872403,-0.036422444465853646
16,0.0971930808905058,-0.1660668852498497
17,0.10714509551091594,-0.04491376590378008
18,0.1130109492027283,-0.11788449317215152
19,0.12049065463439029,-0.11863072094022055
20,0.11633456323216619,-0.06580256365473487
21,0.11759577208742565,0.007887694693709405
22,0.1225316939323016,-0.10469869016982816
23,0.11048155113727226,-0.0695095189129615
24,0.1263883416225663,-0.05389155643742294
25,0.13128020215397654,8.794589949485566e-05
26,0.1275749766041679,0.12133574251272046
27,0.1329479226053741,0.01579943585185615
28,0.12488270680991577,-0.03593266448175932
29,0.05826597607322944,0.09913653758329366
30,0.12838162516424267,-0.021916643768262682
31,0.09236616616217475,-0.022529728524988177
32,0.09720224653413116,0.04718999027005976
33,0.10548174258142809,-0.07630043484377202
34,0.12206753093123833,-0.046730261438263046
35,0.08596604514012493,-0.004462017913846758
36,0.12878553403537293,-0.009896758668381776
37,0.12015269101678788,0.24037260155082724
38,0.11433048677181133,-0.012442112242224563
39,0.10882171007739433,0.005028580372426523
40,0.13063343749012887,0.030853892436571485
41,0.13177656478303787,0.16398987492598355
42,-0.06724111584931547,-0.06177453003155765
43,0.08919826142601978,-0.007326938270809393
44,0.1348497403296273,0.11383150317989832
45,0.13203503029121913,-0.03128777873524419
46,-0.030696244516135434,-0.1356267009613855
47,0.12873911599865215,-0.06471006318121682
48,0.12462967009043244,0.10378054926002822
49,0.10930575728879428,0.24592537786200114
50,-0.07327942442754282,-0.33201171357526704
51,0.12729102213393714,0.2059999268789228
52,0.1164215364619118,-0.05283804094187287
53,0.08894682527620693,-0.15809293860719123
54,-0.03802542436592115,0.22128628726119337
55,0.06639568003045382,0.005955075024279464
56,0.08199056538745311,0.02112469684807712
57,0.10027122900194543,-0.0027838077772352875
58,0.04489731085605661,0.1566453014960493
59,-0.08094481077501378,-0.028469681642124534
60,-0.09602407954036672,0.068043693855927
61,0.05151474765679423,-0.11960122752928573
62,0.09134647723952853,-0.12853077302931912
63,0.09098570640828524,-0.015582678298392817
64,0.003714189885029535,-0.14211824999694572
65,-0.05287058912359061,0.08226971650995461
66,-0.12844676493201576,0.041587807155754726
67,-0.10406501319572119,0.11448813783554869
68,0.01974657151830539,0.11806765429988737
69,-0.0599517454948209,-0.12024178673742297
70,0.008073725111123824,0.12639820203728913
71,0.13295034885848242,0.0735656882245953
72,0.12920313549043777,0.03209399249276073
73,0.08953205168501774,0.1072974435633682
74,0.11772384656051824,-0.1139551732023879
75,0.12918262248029105,0.06974600077365689
76,0.1105712681375223,-0.03336163088822633
78,0.1336396792286611,-0.025306144417314474
79,0.1305180313124968,-0.027240236331690426
80,0.12826244379842727,-0.053474055343920586
81,-0.02228296413678796,0.053578116981567905
82,0.09631584167568702,0.12986168275691357
83,0.03520307154733948,0.0751528327863961
84,0.08361100645515533,0.12479158395071636
85,0.0068805038946256405,0.06529944479889227
86,0.07211744743936235,0.1821032810065837
87,0.1125633037925452,0.04082554463028576
88,0.09900619963395536,0.0075421226080814975
89,0.1250089884140013,0.040058900461159286
90,0.12226656231121019,0.018353971642922684
91,0.10379145826269,0.003233336400365733
92,-0.04123555419901035,-0.04228198267574749
93,0.10539440187454435,-0.16126539079747126
94,-0.0237636294699164,-0.0066978859033856135
95,-0.0978452465149425,-0.06783435295622563
96,-0.03141381996359626,0.1612479081270013
97,0.09623480089567,-0.11279106280722369
